Numero,Banda,Genero,Origen
1,Ne Obliviscaris,Death,Australia
2,Blind Guardian,Power,Alemania
3,Helloween,Rock,Alemania
4,Epica,Symphonic,Holanda
5,Gamma Ray,Power,Alemania
6,Lacrimosa,Gothic,Alemania
7,Dream Theater,Progressive,USA
8,Megadeth,Thrash,USA
9,Iron Maiden,Heavy,Inglaterra
10,Borknagar,Progressive,Noruega
11,Iced Earth,Power,USA
12,Amorphis,Death,Finlandia
13,Devin Townsend,Progressive,Canada
14,Nightwish,Symphonic,Finlandia
15,Therion,Symphonic,Suecia
16,Lovebites,Power,Japon
17,Helloween,Power,Alemania
18,Avantasia,Power,Alemania
19,Opeth,Progressive,Suecia
20,Dolls Boxx,Hard Rock,Japon
21,Primal Fear,Power,Alemania
22,Powerwolf,Power,Alemania
23,Devin Townsend,Progressive,Canada
24,Frozen crown,Power,Italia
25,Blind Guardian,Power,Alemania
26,Symphony X,Power,USA
27,Amon amarth,Death,Suecia
28,TNT,Heavy,Noruega
29,Blind Guardian,Power,Alemania
30,Babymetal,Modern,Japon
31,Chaos Magic,Modern,Finlandia
32,Blind Guardian,Power,Alemania
33,Epica,Symphonic,Holanda
34,Iced Earth,Power,USA
35,Babymetal,Modern,Japon
36,Arcturus,Avant Garde,Noruega
37,X Japan,Symphonic,Japon
38,Hammerfall,Power,Suecia
39,Therion,Symphonic,Suecia
40,Tesseract,progressive,Inglaterra
41,Devin Townsend,progressive,Canada
42,Blind Guardian,Power,Alemania
43,Bal-Sagoth,Black,Noruega
44,Metallica,Thrash,USA
45,Anathema,Modern,Inglaterra
46,Heavenly,Power,Alemania
47,Savatage,Power,USA
48,Tool,Progressive,USA
49,Eluveitie,Folk,Suiza
50,Iron Savior,Power,Alemania
